Nombre de empresa;UNIDAD DE NEGOCIO - AREA;Desc UN;Nombre Proyecto;Desc CO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;BASCULAS VILLALOBOS
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;ACCENORTE;CCO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;EL FARO 118;EL FARO 118
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;GERENCIA ADMINISTRATIVA Y FINANCIERA;GERENCIAS;ADMINISTRACION;FINANCIERA Y ADMINISTRATIVA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;FRIGORINUS;FRIGORINUS (VIGILANCIA)
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ADMINISTRACION;ADMINISTRACION;GENERALES DE ADMINISTRACION
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;GERENCIA DE GESTIÓN HUMANA;GERENCIAS;ADMINISTRACION;GESTION HUMANA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;GICA;GICA (VIGILANCIA)
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;GICA ADMINISTRACION
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;GICA CASOS ESPECIALES
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;INVERSIONES ALIADAS;INVERSIONES ALIADAS (VIGILANCIA)
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;LABERINTO (BASCULA NORTE)
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;LABERINTO (BASCULA SUR)
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTAS DEL VALLE;OCASIONALES RUTAS DEL VALLE
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;GERENCIA DE OPERACIONES;GERENCIAS;ADMINISTRACION;OPERACIONES
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTA AL SUR;PEAJE ALTAMIRA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTA AL SUR;PEAJE ALTAMIRA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;PEAJE ALTAMIRA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;CONSORCIO PEAJES 2526;PEAJE AMOLADERO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;ACCENORTE;PEAJE ANDES
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;ACCENORTE;PEAJE ANDES
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;VINUS;PEAJE CABILDO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;VINUS;PEAJE CABILDO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE CENCAR
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE CENCAR
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE CERRITO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE CERRITO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;PEAJE CHICORAL
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;GICA;PEAJE CHICORAL
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE CIAT
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE CIAT
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTAS DEL VALLE;PEAJE CIAT
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;VINUS;PEAJE CISNEROS
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;VINUS;PEAJE CISNEROS
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;PEAJE COCORA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;GICA;PEAJE COCORA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE ESTAMBUL
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE ESTAMBUL
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;ACCENORTE;PEAJE FUSCA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;ACCENORTE;PEAJE FUSCA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;PEAJE GUALANDAY
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;GICA;PEAJE GUALANDAY
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;CONSORCIO PEAJES 2526;PEAJE LA BALSA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTA AL SUR;PEAJE LABERINTO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTA AL SUR;PEAJE LABERINTO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;PEAJE LABERINTO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTA AL SUR;PEAJE LOS CAUCHOS
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTA AL SUR;PEAJE LOS CAUCHOS
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;PEAJE LOS CAUCHOS
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE MEDIA CANOA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE MEDIA CANOA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTAS DEL VALLE;PEAJE MEDIA CANOA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;CONSORCIO PEAJES 2526;PEAJE NUEVO SALTO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;CONSORCIO PEAJES 2526;PEAJE PACHO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;VINUS;PEAJE PANDEQUESO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;VINUS;PEAJE PANDEQUESO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE PASO DE LA TORRE
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE PASO DE LA TORRE
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE ROZO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE ROZO
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;CONSORCIO PEAJES 2526;PEAJE SAN MIGUEL
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;VINUS;PEAJE TRAPICHE
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;VINUS;PEAJE TRAPICHE
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE VILLA RICA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE VILLA RICA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;PEAJE VILLALOBOS
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTA AL SUR;RUTA AL SUR ADMINISTRACION
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTA AL SUR;RUTA AL SUR CASOS ESPECIALES
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;RUTAS DEL VALLE ADMINISTRACION
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;GERENCIAS;ADMINISTRACION;SEGURIDAD Y VIGILANCIA
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;SEGURIDAD Y VIGILANCIA;VIGILANCIA;RUTA AL SUR;SMN (VIGILANCIA)
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;VINUS;VINUS ADMINISTRACION
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;PEAJES Y BASCULAS;VINUS;VINUS CASOS ESPECIALES
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;GICA;GICA (OPERACION VIAL)
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;GICA;GICA ADMINISTRACION
REGENCY HEALTH SERVICES S.A.S;GERENCIA DE OPERACIONES;GERENCIAS;ADMINISTRACION;OPERACIONES
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;GICA;PROYECTO 5X2 OPERACION VIAL
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;RUTA AL SUR;PROYECTO 5X2 OPERACION VIAL
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;V40E;PROYECTO 5X2 OPERACION VIAL
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;ADMINISTRACION;ADMINISTRACION;RUTA AL SUR ADMINISTRACION
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;RUTA AL SUR;RUTA AL SUR ADMINISTRACION
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;RUTA AL SUR;SMN (OPERACION VIAL)
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;V40E;V40E (OPERACION VIAL)
REGENCY HEALTH SERVICES S.A.S;OPERACIÓN VIAL;OPERACION VIAL;V40E;V40E ADMINISTRACIÓN
REGENCY SERVICES DE COLOMBIA S.A.S;GERENCIA ADMINISTRATIVA Y FINANCIERA;GERENCIAS;ADMINISTRACION;FINANCIERA Y ADMINISTRATIVA
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;ADMINISTRACION;ADMINISTRACION;GENERALES DE ADMINISTRACION
REGENCY SERVICES DE COLOMBIA S.A.S;GERENCIA GENERAL;GERENCIAS;ADMINISTRACION;GERENCIA GENERAL
REGENCY SERVICES DE COLOMBIA S.A.S;GERENCIA DE GESTIÓN HUMANA;GERENCIAS;ADMINISTRACION;GESTION HUMANA
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;GICA;GICA (OPERACION VIAL)
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;GICA;GICA ADMINISTRACION
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;PEAJES Y BASCULAS;GICA;GICA ADMINISTRACION
REGENCY SERVICES DE COLOMBIA S.A.S;TOLIS;GERENCIAS;ADMINISTRACION;MEDIOS ALTERNATIVOS DE PAGO (TOLIS)
REGENCY SERVICES DE COLOMBIA S.A.S;GERENCIA DE OPERACIONES;ADMINISTRACION;ADMINISTRACION;OPERACIONES
REGENCY SERVICES DE COLOMBIA S.A.S;GERENCIA DE OPERACIONES;GERENCIAS;ADMINISTRACION;OPERACIONES
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE CERRITO
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE CIAT
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE ESTAMBUL
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;PEAJE MEDIA CANOA
REGENCY SERVICES DE COLOMBIA S.A.S;GERENCIA DE GESTIÓN HUMANA;GERENCIAS;ADMINISTRACION;PROYECTO 5X2 OPERACION VIAL
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;GICA;PROYECTO 5X2 OPERACION VIAL
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;RUTA AL SUR;PROYECTO 5X2 OPERACION VIAL
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;V40E;PROYECTO 5X2 OPERACION VIAL
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;VINUS;PROYECTO 5X2 OPERACION VIAL
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;RUTA AL SUR;RUTA AL SUR ADMINISTRACION
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;OPERACION VIAL;RUTA AL SUR;RUTA AL SUR ADMINISTRACION
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTA AL SUR;RUTA AL SUR ADMINISTRACION
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;RUTA AL SUR;RUTA AL SUR CASOS ESPECIALES
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;RUTAS DEL VALLE ADMINISTRACION
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;RUTA AL SUR;SMN (OPERACION VIAL)
REGENCY SERVICES DE COLOMBIA S.A.S;PEAJES Y BASCULAS;PEAJES Y BASCULAS;RUTAS DEL VALLE;TRABAJO EN ALTURAS
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;V40E;V40E (OPERACION VIAL)
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;V40E;V40E CASOS ESPECIALES
REGENCY SERVICES DE COLOMBIA S.A.S;OPERACIÓN VIAL;OPERACION VIAL;VINUS;VINUS (OPERACION VIAL)
REGENCY TECH S.A.S;GERENCIA DE OPERACIONES;GERENCIAS;ADMINISTRACION;OPERACIONES
